id,broker,order_type,is_active,order_result_status,amount,asset_order,result,id_trade,uid,percent_profit,open_time,close_time,request_id,request_body,status,created_at,executed_at
8544,9,BUY,1,LOSS,"179,29",EURCAD,"-179,29",90a85651-64c5-4c4f-af6a-89cfc3090c26,26041265,82,2025-05-16 12:46:00,2025-05-16 12:47:00,1747399559,"{""asset_order"": ""EURCAD"", ""order_type"": ""BUY"", ""amount"": 179.29, ""order_result_status"": ""LOSS"", ""result"": -179.29, ""open_time"": ""2025-05-16 12:46:00"", ""close_time"": ""2025-05-16 12:47:00"", ""percent_profit"": 82, ""id_trade"": ""90a85651-64c5-4c4f-af6a-89cfc3090c26"", ""uid"": 26041265, ""request_id"": 1747399559, ""symbol"": ""EURCAD""}",EXECUTED,2025-05-16 09:47:07,2025-05-16 12:47:00
8543,9,SELL,1,LOSS,"184,84",CADCHF_otc,"-184,84",daa4d73e-ea9e-4af8-8e2e-a42567d2aae6,26041265,78,2025-05-16 12:43:00,2025-05-16 12:44:00,1747399379,"{""asset_order"": ""CADCHF_otc"", ""order_type"": ""SELL"", ""amount"": 184.84, ""order_result_status"": ""LOSS"", ""result"": -184.84, ""open_time"": ""2025-05-16 12:43:00"", ""close_time"": ""2025-05-16 12:44:00"", ""percent_profit"": 78, ""id_trade"": ""daa4d73e-ea9e-4af8-8e2e-a42567d2aae6"", ""uid"": 26041265, ""request_id"": 1747399379, ""symbol"": ""CADCHF_otc""}",EXECUTED,2025-05-16 09:44:17,2025-05-16 12:44:00
8542,9,BUY,1,LOSS,"190,55",GBPCAD,"-190,55",d3611ded-a8d0-4b59-bf48-56ae372c0e7b,26041265,83,2025-05-16 12:41:00,2025-05-16 12:42:00,1747399259,"{""asset_order"": ""GBPCAD"", ""order_type"": ""BUY"", ""amount"": 190.55, ""order_result_status"": ""LOSS"", ""result"": -190.55, ""open_time"": ""2025-05-16 12:41:00"", ""close_time"": ""2025-05-16 12:42:00"", ""percent_profit"": 83, ""id_trade"": ""d3611ded-a8d0-4b59-bf48-56ae372c0e7b"", ""uid"": 26041265, ""request_id"": 1747399259, ""symbol"": ""GBPCAD""}",EXECUTED,2025-05-16 09:42:06,2025-05-16 12:42:00
8541,9,BUY,1,WIN,"181,56",GBPJPY,"148,88",a657c226-e5c0-40fd-9f2a-c4b17bd171a0,26041265,82,2025-05-16 12:39:01,2025-05-16 12:40:00,1747399139,"{""asset_order"": ""GBPJPY"", ""order_type"": ""BUY"", ""amount"": 181.56, ""order_result_status"": ""WIN"", ""result"": 148.8792, ""open_time"": ""2025-05-16 12:39:01"", ""close_time"": ""2025-05-16 12:40:00"", ""percent_profit"": 82, ""id_trade"": ""a657c226-e5c0-40fd-9f2a-c4b17bd171a0"", ""uid"": 26041265, ""request_id"": 1747399139, ""symbol"": ""GBPJPY""}",EXECUTED,2025-05-16 09:40:08,2025-05-16 12:40:00
8540,9,SELL,1,LOSS,"188,23",EURCHF,"-188,23",41269222-c989-49f5-bf68-9d4369302fdf,26041265,50,2025-05-16 12:34:00,2025-05-16 12:35:00,1747398839,"{""asset_order"": ""EURCHF"", ""order_type"": ""SELL"", ""amount"": 188.23, ""order_result_status"": ""LOSS"", ""result"": -188.23, ""open_time"": ""2025-05-16 12:34:00"", ""close_time"": ""2025-05-16 12:35:00"", ""percent_profit"": 50, ""id_trade"": ""41269222-c989-49f5-bf68-9d4369302fdf"", ""uid"": 26041265, ""request_id"": 1747398839, ""symbol"": ""EURCHF""}",EXECUTED,2025-05-16 09:35:16,2025-05-16 12:35:00
8539,9,BUY,1,WIN,"183,98",USDJPY,"141,66",57f36320-2385-4a6c-958d-7d6bfbe9916d,26041265,77,2025-05-16 12:27:01,2025-05-16 12:28:00,1747398419,"{""asset_order"": ""USDJPY"", ""order_type"": ""BUY"", ""amount"": 183.98, ""order_result_status"": ""WIN"", ""result"": 141.6646, ""open_time"": ""2025-05-16 12:27:01"", ""close_time"": ""2025-05-16 12:28:00"", ""percent_profit"": 77, ""id_trade"": ""57f36320-2385-4a6c-958d-7d6bfbe9916d"", ""uid"": 26041265, ""request_id"": 1747398419, ""symbol"": ""USDJPY""}",EXECUTED,2025-05-16 09:28:15,2025-05-16 12:28:00
8538,9,SELL,1,LOSS,"183,95",EURUSD,"-183,95",01c26b10-ba72-4763-9598-00c7d43cf651,26041265,89,2025-05-16 12:25:01,2025-05-16 12:26:00,1747398299,"{""asset_order"": ""EURUSD"", ""order_type"": ""SELL"", ""amount"": 183.95, ""order_result_status"": ""LOSS"", ""result"": -183.95, ""open_time"": ""2025-05-16 12:25:01"", ""close_time"": ""2025-05-16 12:26:00"", ""percent_profit"": 89, ""id_trade"": ""01c26b10-ba72-4763-9598-00c7d43cf651"", ""uid"": 26041265, ""request_id"": 1747398299, ""symbol"": ""EURUSD""}",EXECUTED,2025-05-16 09:26:07,2025-05-16 12:26:00
8537,9,BUY,1,WIN,"184,73",NZDUSD_otc,"158,87",3897c48b-7b7e-4bb8-9171-46d94e6fb3e1,26041265,86,2025-05-16 12:23:01,2025-05-16 12:24:00,1747398179,"{""asset_order"": ""NZDUSD_otc"", ""order_type"": ""BUY"", ""amount"": 184.73, ""order_result_status"": ""WIN"", ""result"": 158.8678, ""open_time"": ""2025-05-16 12:23:01"", ""close_time"": ""2025-05-16 12:24:00"", ""percent_profit"": 86, ""id_trade"": ""3897c48b-7b7e-4bb8-9171-46d94e6fb3e1"", ""uid"": 26041265, ""request_id"": 1747398179, ""symbol"": ""NZDUSD_otc""}",EXECUTED,2025-05-16 09:24:06,2025-05-16 12:24:00
8536,9,BUY,1,WIN,"172,90",USDCHF,"86,45",8599c881-d9c6-45a9-a090-1cfad8d3aa06,26041265,50,2025-05-16 12:20:00,2025-05-16 12:21:00,1747397999,"{""asset_order"": ""USDCHF"", ""order_type"": ""BUY"", ""amount"": 172.9, ""order_result_status"": ""WIN"", ""result"": 86.45, ""open_time"": ""2025-05-16 12:20:00"", ""close_time"": ""2025-05-16 12:21:00"", ""percent_profit"": 50, ""id_trade"": ""8599c881-d9c6-45a9-a090-1cfad8d3aa06"", ""uid"": 26041265, ""request_id"": 1747397999, ""symbol"": ""USDCHF""}",EXECUTED,2025-05-16 09:21:17,2025-05-16 12:21:00
8535,9,BUY,1,LOSS,"174,94",USDJPY,"-174,94",6dace72d-17c3-4026-a30e-51163f76b1ce,26041265,77,2025-05-16 12:17:01,2025-05-16 12:18:00,1747397819,"{""asset_order"": ""USDJPY"", ""order_type"": ""BUY"", ""amount"": 174.94, ""order_result_status"": ""LOSS"", ""result"": -174.94, ""open_time"": ""2025-05-16 12:17:01"", ""close_time"": ""2025-05-16 12:18:00"", ""percent_profit"": 77, ""id_trade"": ""6dace72d-17c3-4026-a30e-51163f76b1ce"", ""uid"": 26041265, ""request_id"": 1747397819, ""symbol"": ""USDJPY""}",EXECUTED,2025-05-16 09:18:06,2025-05-16 12:18:00
